,title,classe,labels,title_tokenized,title_string
81,"PROJET DE CONSTRUCTION D’UN PONT À HAUBANS POUR LE FRANCHISSEMENT DU FLEUVE DE SANDRAVINANY AU PK 145+530 DE LA RNT12A, RÉGION ATSIMO ATSINANANA",Bâtiments et Constructions,0,"['projet', 'construction', 'pont', 'hauban', 'franchissement', 'fleuve', 'sandravinany', 'région', 'atsimo', 'atsinanana']",projet construction pont hauban franchissement fleuve sandravinany région atsimo atsinanana
82,ÉTUDE DU PROJET DE CONSTRUCTION DU PONT DE MANAMBONDRO EN BÉTON PRÉCONTRAINT AU PK 173+504 SUR LA RNT12A DANS LA RÉGION ATSIMO ATSINANANA,Bâtiments et Constructions,0,"['étude', 'projet', 'construction', 'pont', 'manambondro', 'béton', 'précontraint', 'région', 'atsimo', 'atsinanana']",étude projet construction pont manambondro béton précontraint région atsimo atsinanana
83,ETUDE DE LA RECONSTRUCTION DU PONT DE MANANJEBA SUR LA RN6 PK 583+650,Bâtiments et Constructions,0,"['etude', 'reconstruction', 'pont', 'mananjeba']",etude reconstruction pont mananjeba
84,ÉTUDE TECHNIQUE DU PROJET DE RÉHABILITATION DE LA VOIE V1 DE LA VILLE DE NOSY BE RELIANT LE VILLAGE ANTANAMBAO ET CROISEMENT MONT PASSOT,Bâtiments et Constructions,0,"['étude', 'technique', 'projet', 'réhabilitation', 'voie', 'ville', 'nosy', 'relier', 'village', 'antanambao', 'croisement', 'mont', 'passot']",étude technique projet réhabilitation voie ville nosy relier village antanambao croisement mont passot
85,"ETUDE D’AMÉNAGEMENT DE LA ROUTE NATIONALE N°09 LOT I RELIANT ANALAMISAMPY AMBONY A MILOMBOKE DU PK107+200 AU PK 131+700, REGION ATSIMO-ANDREFANA",Bâtiments et Constructions,0,"['etude', 'aménagement', 'route', 'national', 'lot', 'relier', 'analamisampy', 'ambony', 'milomboke', 'region', 'atsimo', 'andrefana']",etude aménagement route national lot relier analamisampy ambony milomboke region atsimo andrefana
86,CHAUSSEE EN BETON COMPACTE AU ROULEAU (B.C.R),Bâtiments et Constructions,0,"['chaussee', 'beton', 'compacte', 'rouleau']",chaussee beton compacte rouleau
87,ETUDE D’UNE SOLUTION DE TYPE BIPOUTRE MIXTE POUR LA RECONSTRUCTION DU PONT DE MANAMBATROMBY I SUR LA RN4 AU PK 374+254 DANS LA REGION BETSIBOKA,Bâtiments et Constructions,0,"['etude', 'solution', 'type', 'bipoutre', 'mixte', 'reconstruction', 'pont', 'manambatromby', 'region', 'betsiboka']",etude solution type bipoutre mixte reconstruction pont manambatromby region betsiboka
88,"PROJET DE CONSTRUCTION D’UN CENTRE DE LOISIRS, DE DESINTOXICATION ET DE REINSERTION SOCIALE A MAHALAVOLONA",Bâtiments et Constructions,0,"['projet', 'construction', 'centre', 'loisir', 'desintoxication', 'reinsertion', 'social', 'mahalavolona']",projet construction centre loisir desintoxication reinsertion social mahalavolona
89,Conception d’un four à gaz pour la cuisson des céramiques dans des laboratoires,Bâtiments et Constructions,0,"['conception', 'four', 'gaz', 'cuisson', 'céramique', 'laboratoire']",conception four gaz cuisson céramique laboratoire
90,PROJET DE CONSTRUCTION D’UN BATIMENT R+3 A USAGE HOTELIER SIS A MAROMBY FIANARANTSOA,Bâtiments et Constructions,0,"['projet', 'construction', 'batiment', 'usage', 'hotelier', 'sis', 'maromby', 'fianarantsoer']",projet construction batiment usage hotelier sis maromby fianarantsoer
91,ETUDE D’UN BATIMENT R+5 A USAGE D’HABITATION SIS A AMBATOBE,Bâtiments et Constructions,0,"['etude', 'batiment', 'usage', 'habitation', 'ambatobe']",etude batiment usage habitation ambatobe
92,ETUDE DE LA CONSTRUCTION D’UN BATIMENT R+1 A USAGE D’HABITATION SIS A TOLIARA,Bâtiments et Constructions,0,"['etude', 'construction', 'batiment', 'usage', 'habitation', 'toliara']",etude construction batiment usage habitation toliara
93,CONTRIBUTION A LA CARACTERISATION ELECTRIQUE ET THERMIQUE D’UN ARC EN FONCTION DE LA PUISSANCE TRANSMISE,Sciences et technologie industrielles,5,"['contribution', 'caracterisation', 'electriqu', 'thermique', 'arc', 'fonction', 'puissance', 'transmise']",contribution caracterisation electriqu thermique arc fonction puissance transmise
94,DEVELOPPEMENT ET RELISATION D’UN NOUVEAU GENERATEUR ELECTROCHIMIQUE SANS RECHARGE,Sciences et technologie industrielles,5,"['developpement', 'relisation', 'generateur', 'electrochimique', 'recharge']",developpement relisation generateur electrochimique recharge
95,MODELISATION DE LA PROTECTION CONTRE LA FOUDRE DES EQUIPEMENTS D’UN SITE INDUSTRIEL - CAS D’UN SITE TELECOM,Sciences et technologie industrielles,5,"['modelisation', 'protection', 'contre', 'foudre', 'equipement', 'site', 'industriel', 'cas', 'site', 'telecom']",modelisation protection contre foudre equipement site industriel cas site telecom
96,FONCTIONNEMENT DES MACHINES ASYNCHRONES CONNECTEES SUR UN RESEAU D'ENERGIE POLLUE PAR DES ONDULEURS DE PUISSANCE,Sciences et technologie industrielles,5,"['fonctionnement', 'machine', 'asynchrone', 'connecteer', 'reseau', 'denergi', 'pollue', 'onduleur', 'puissance']",fonctionnement machine asynchrone connecteer reseau denergi pollue onduleur puissance
97,Etude bibliographique d’un compresseur pour le machine frigorifique,Sciences et technologie industrielles,5,"['etude', 'bibliographique', 'compresseur', 'machine', 'frigorifique']",etude bibliographique compresseur machine frigorifique
98,DETECTION DE DEFAUTS D’UN MOTEUR ASYNCHRONE A ROTOR A CAGE,Sciences et technologie industrielles,5,"['detection', 'defauts', 'moteur', 'asynchrone', 'rotor', 'cage']",detection defauts moteur asynchrone rotor cage
99,CONTRIBUTION A L'ETUDE DE LA DEGRADATION PREMATUREE DES STOCKAGES ELECTROCHIMIQUES,Sciences et technologie industrielles,5,"['contribution', 'letude', 'degradation', 'prematuree', 'stockage', 'electrochimiques']",contribution letude degradation prematuree stockage electrochimiques
100,Etude et la conception de résistivimètre laboratoire,Sciences et technologie industrielles,5,"['etude', 'conception', 'résistivimètre', 'laboratoir']",etude conception résistivimètre laboratoir
101,CLIMATISATION PAR CENTRALE DE TRAITEMENT D’AIR D’UN BLOC OPERATOIRE (ALIMENTATION ELECTRIQUE CLASSIQUE SECURISEE PAR UN GROUPE ELECTROGENE),Sciences et technologie industrielles,5,"['climatisation', 'centrale', 'traitement', 'air', 'bloc', 'operatoire', 'alimentation', 'electriqu', 'classique', 'securisee', 'groupe', 'electrogene']",climatisation centrale traitement air bloc operatoire alimentation electriqu classique securisee groupe electrogene
102,ETUDE D’INTERFACE DE CONNEXION ENTRE EQUIPEMENTS ET LEURS APPLICATIONS,Sciences et technologie industrielles,5,"['etude', 'interface', 'connexion', 'entrer', 'equipement', 'application']",etude interface connexion entrer equipement application
103,Conception et simulation d’un système d’alarme à base pic 16F877,Sciences et technologie industrielles,5,"['conception', 'simulation', 'système', 'alarme', 'base', 'pic']",conception simulation système alarme base pic
104,TENUE DES CONDUCTEURS AUX CONTRAINTES DUES AUX ARCS ELECTRIQUES,Sciences et technologie industrielles,5,"['conducteur', 'contrainte', 'devoir', 'arcs', 'electriques']",conducteur contrainte devoir arcs electriques
105,ETUDES ET REALISATIONS D’UN SYSTEME DE MESURE DE CONSOMMATION ELECTRIQUE,Sciences et technologie industrielles,5,"['etude', 'realisation', 'systeme', 'mesure', 'consommation', 'electriqu']",etude realisation systeme mesure consommation electriqu
106,COMPORTEMENT DU MOTEUR ASYNCHRONE TRIPHASÉ PRÉVU POUR UNE MARCHE EN FRÉQUENCE 50[Hz] ALIMENTÉ PAR UN RÉSEAU DE FRÉQUENCE 60[Hz],Sciences et technologie industrielles,5,"['comportement', 'moteur', 'asynchrone', 'triphasé', 'prévoir', 'marche', 'fréquence', 'alimenté', 'réseau', 'fréquence']",comportement moteur asynchrone triphasé prévoir marche fréquence alimenté réseau fréquence
107,CONTRIBUTION A L’ETUDE DE L’ELECTRIFICATION DES ZONES RURALES PAR LE SYSTEME « SINGLE WIRE EARTH RETURN (SWER) ». CAS DE LA REGION FITOVINANY,Sciences et technologie industrielles,5,"['contribution', 'etude', 'electrification', 'zone', 'rurales', 'systeme', 'single', 'wire', 'earth', 'return', 'swer', 'cas', 'region', 'fitovinany']",contribution etude electrification zone rurales systeme single wire earth return swer cas region fitovinany
108,ETUDES ET REALISATIONS D’UN SYSTEME DE MESURE DE CONSOMMATION ELECTRIQUE,Sciences et technologie industrielles,5,"['etude', 'realisation', 'systeme', 'mesure', 'consommation', 'electriqu']",etude realisation systeme mesure consommation electriqu
109,ETUDE DE CONCEPTION D’ELECTRODE A BASE DE GRAPHITE,Sciences et technologie industrielles,5,"['etude', 'conception', 'electrode', 'base', 'graphite']",etude conception electrode base graphite
110,MODELISATION D’UN ARC TRANSITOIRE ENTRE DEUX ELECTRODES,Sciences et technologie industrielles,5,"['modelisation', 'arc', 'transitoire', 'entrer', 'electrodes']",modelisation arc transitoire entrer electrodes
111,ETUDES D’UNE CENTRALE HYBRIDE POUR DESSERVIR UN CENTRE HOSPITALIER A AMPAREMAHITSY MAHAJANGA,Énergie,6,"['etude', 'centrale', 'hybride', 'desservir', 'centre', 'hospitalier', 'amparemahitsy', 'mahajanger']",etude centrale hybride desservir centre hospitalier amparemahitsy mahajanger
112,INTEGRATION D’UNE PUISSANCE MOYENNE SOLAIRE PHOTOVOLTAIQUE SANS STOCKAGE AU RESEAU : APPLICATION AU RESEAU ELECTRIQUE DE TULEAR,Énergie,6,"['integration', 'puissance', 'moyenne', 'solaire', 'photovoltaique', 'stockage', 'reseau', 'application', 'reseau', 'electriqu', 'tulear']",integration puissance moyenne solaire photovoltaique stockage reseau application reseau electriqu tulear
113,CLIMATISATION PAR CENTRALE DE TRAITEMENT D’AIR D’UN BLOC MATERNITÉ (ALIMENTATION PHOTOVOLTAÏQUE),Énergie,6,"['climatisation', 'centrale', 'traitement', 'air', 'bloc', 'materniter', 'alimentation', 'photovoltaïque']",climatisation centrale traitement air bloc materniter alimentation photovoltaïque
114,INNOVATION DU CONCEPT DE COMBUSTION D’UN MOTEUR THERMIQUE PAR HYDROGENE,Énergie,6,"['innovation', 'concept', 'combustion', 'moteur', 'thermique', 'hydrogene']",innovation concept combustion moteur thermique hydrogene
115,OPTIMISATION DE LA CONSOMMATION EN ENERGIE D’UN HPC,Énergie,6,"['optimisation', 'consommation', 'energie', 'hpc']",optimisation consommation energie hpc
116,Dimensionnement de l’électrification d’un village : Cas du chef-lieu de la Commune Rurale de Mahasolo par une centrale solaire photovoltaïque.,Énergie,6,"['dimensionnement', 'électrification', 'village', 'cas', 'chef', 'lieu', 'commune', 'rural', 'mahasolo', 'centrale', 'solaire', 'photovoltaïque']",dimensionnement électrification village cas chef lieu commune rural mahasolo centrale solaire photovoltaïque
117,"Conception d’un système de régulation de puissance transmise à la charge d’une batterie, à base de cellules photovoltaïques, applique au domaine du chauffage domestique",Énergie,6,"['conception', 'système', 'régulation', 'puissance', 'transmettre', 'charge', 'batterie', 'base', 'cellule', 'photovoltaïque', 'applique', 'domaine', 'chauffage', 'domestique']",conception système régulation puissance transmettre charge batterie base cellule photovoltaïque applique domaine chauffage domestique
118,Intégration d’une puissance de 30 MW d’origine solaire photovoltaïque dans le réseau interconnecté d’Antananarivo (RIA),Énergie,6,"['intégration', 'puissance', 'origine', 'solaire', 'photovoltaïque', 'réseau', 'interconnecter', 'antananarivo', 'ria']",intégration puissance origine solaire photovoltaïque réseau interconnecter antananarivo ria
119,"Comparaison du taux de charge du parc batterie entre un système centralisé photovoltaïque autonome de 57 kWc et 16 systèmes autonomes de 3,6 kWc pour alimenter 16 appartements indépendants à Antsirabe",Énergie,6,"['comparaison', 'taux', 'charge', 'parc', 'batterie', 'entrer', 'système', 'centraliser', 'photovoltaïque', 'autonome', 'kwc', 'système', 'autonome', 'kwc', 'alimenter', 'appartement', 'indépendant', 'antsirabe']",comparaison taux charge parc batterie entrer système centraliser photovoltaïque autonome kwc système autonome kwc alimenter appartement indépendant antsirabe
120,"LES FOYERS AMELIORES A MADAGASCAR, CAS DU RECHAUD ELECTRIQUE AMELIORE",Énergie,6,"['foyer', 'ameliore', 'madagascar', 'cas', 'rechaud', 'electrique', 'ameliore']",foyer ameliore madagascar cas rechaud electrique ameliore
121,ETUDE COMPARATIVE DES AMENAGEMENTS HYDROELECTRIQUES DU SITE D’ANDRIAMANJAVONA POUR UNE SOLUTION D’APPROVISIONNEMENT EN ENERGIE ELECTRIQUE DE LA ZONE DU PROJET,Énergie,6,"['etude', 'comparatif', 'amenagement', 'hydroelectrique', 'site', 'andriamanjavona', 'solution', 'approvisionnemer', 'energie', 'electriqu', 'zone', 'projet']",etude comparatif amenagement hydroelectrique site andriamanjavona solution approvisionnemer energie electriqu zone projet
122,DIMENSIONNEMNENT TECHNIQUE D’UN SYSTEME PHOTOVOLTAIQUE D’UNE PUISSANCE DE 1MW D’APRES LES CONDITIONS CLIMATIQUES DE MADAGASCAR,Énergie,6,"['dimensionnemnent', 'technique', 'systeme', 'photovoltaique', 'puissance', 'apre', 'condition', 'climatique', 'madagascar']",dimensionnemnent technique systeme photovoltaique puissance apre condition climatique madagascar
123,ETUDE PRE-FAISABILITE D’UNE CENTRALE HYDROELECTRIQUE SISE À AMPASIMBE ONIBE,Énergie,6,"['etude', 'pre', 'faisabilite', 'centrale', 'hydroelectrique', 'sise', 'ampasimbe', 'onibe']",etude pre faisabilite centrale hydroelectrique sise ampasimbe onibe
124,Modélisation d’un séchoir solaire multiusage,Énergie,6,"['modélisation', 'séchoir', 'solaire', 'multiusage']",modélisation séchoir solaire multiusage
125,SECHOIR HYBRIDE SOLAIRE DE BOIS ENERGIE UTILISE DANS LES MEULES AMELIOREES ET INDUSTRIELLES,Énergie,6,"['sechoir', 'hybride', 'solaire', 'bois', 'energie', 'utiliser', 'meule', 'amelioree', 'industrielles']",sechoir hybride solaire bois energie utiliser meule amelioree industrielles
126,Dimensionnement d’un système photovoltaïque pour les maisons familiales du VILLAGE D’ENFANTS SOS DE VONTOVORONA MADAGASCAR,Énergie,6,"['dimensionnement', 'système', 'photovoltaïque', 'maison', 'familial', 'village', 'enfant', 'vontovorona', 'madagascar']",dimensionnement système photovoltaïque maison familial village enfant vontovorona madagascar
127,REFLEXION SUR LA RECHERCHE D’UNE SOLUTION FACE AU PROBLEME D’ALIMENTATION EN ELECTRICITE DE LA COMMUNE RURALE DE MANDIALAZA REGION ALAOTRA MANGORO DURANT LES PERIODES D’ETIAGE A TRAVERS LA MISE EN PLACE D’UNE CENTRALE SOLAIRE,Énergie,6,"['reflexion', 'recherche', 'solution', 'face', 'probleme', 'alimentation', 'electricite', 'commune', 'rural', 'mandialaza', 'region', 'alaotra', 'mangoro', 'durer', 'periode', 'etiage', 'travers', 'mise', 'place', 'centrale', 'solaire']",reflexion recherche solution face probleme alimentation electricite commune rural mandialaza region alaotra mangoro durer periode etiage travers mise place centrale solaire
128,CONCEPTION ET EXPERIMENTATION D’UN DISPOSITIF CALORIMETRIQUE,Énergie,6,"['conception', 'experimentation', 'dispositif', 'calorimetriqu']",conception experimentation dispositif calorimetriqu
129,Centrale Solaire Thermodynamique en vue de la Production d’électricité Pour le Village de Zazafotsy,Énergie,6,"['central', 'solaire', 'thermodynamique', 'vue', 'production', 'électricité', 'village', 'zazafotsy']",central solaire thermodynamique vue production électricité village zazafotsy
130,"CONCEPTION A L’ETUDE, A LA CONCEPTION ET A LA SIMULATION D’UN RESERVOIR D’AIR COMPRIME A L’ECHELLE INDUSTRIEL POUR LE PROJET AMBATOVY",Énergie,6,"['conception', 'etude', 'conception', 'simulation', 'reservoir', 'air', 'comprimer', 'echelle', 'industriel', 'projet', 'ambatovy']",conception etude conception simulation reservoir air comprimer echelle industriel projet ambatovy
131,Contribution à l’élaboration des combustibles solides à partir,Énergie,6,"['contribution', 'élaboration', 'combustible', 'solide', 'partir']",contribution élaboration combustible solide partir
132,Les protections des systèmes photovoltaïque connectés au réseau public,Énergie,6,"['protection', 'système', 'photovoltaïque', 'connecté', 'réseau', 'public']",protection système photovoltaïque connecté réseau public
133,ÉTUDES D’IMPACTS ENVIRONNEMENTAUX,Environnement et Ressources Naturelles,1,"['étude', 'impacts', 'environnementaux']",étude impacts environnementaux
134,MISE EN PLACE D’UN SYSTEME DE MANAGEMENT HYGIENE- SECURITE- ENVIRONNEMENT AU SEIN DE LA DIRECTION LABORATOIRE DE L’OMNIS,Environnement et Ressources Naturelles,1,"['mise', 'place', 'systeme', 'management', 'hygiene', 'securite', 'environnement', 'sein', 'direction', 'laboratoire', 'omni']",mise place systeme management hygiene securite environnement sein direction laboratoire omni
135,ANALYSE DE DURABILITE ET EVALUATION ENVIRONNEMENTALE DE LA FILIERE AVICOLE DE L’AIRE PROTEGEE MAROMIZAHA,Environnement et Ressources Naturelles,1,"['analyse', 'durabilite', 'evaluation', 'environnemental', 'filiere', 'avicole', 'aire', 'protege', 'maromizaha']",analyse durabilite evaluation environnemental filiere avicole aire protege maromizaha
136,L’AGRICULTURE ET SES IMPACTS SUR L’ENVIRONNEMENT DANS LES PAYS EN DEVELOPPEMENT : CAS DE LA REGION ALAOTRA,Environnement et Ressources Naturelles,1,"['agriculture', 'impact', 'environnement', 'pays', 'developpement', 'cas', 'region', 'alaotra']",agriculture impact environnement pays developpement cas region alaotra
137,ETUDE D’IMPACTS DES EAUX USEES D’UNE MINE,Environnement et Ressources Naturelles,1,"['etude', 'impact', 'eau', 'usee', 'mine']",etude impact eau usee mine
138,CONTRIBUTION A L’ANALYSE DES IMPACTS ET A L’ELABORATION DU PGESP D’UNE EXPLOITATION AURIFERE CAS DE LA COMMUNE RURALE DE MORAFENO,Environnement et Ressources Naturelles,1,"['contribution', 'analyse', 'impact', 'elaboration', 'pgesp', 'exploitation', 'aurifere', 'cas', 'commune', 'rural', 'morafeno']",contribution analyse impact elaboration pgesp exploitation aurifere cas commune rural morafeno
139,CONTRIBUTION A L’ANALYSE DES IMPACTS ET A L’ELABORATION DU PGESP D’UNE EXPLOITATION AURIFERE CAS DE LA COMMUNE RURALE DE MORAFENO,Environnement et Ressources Naturelles,1,"['contribution', 'analyse', 'impact', 'elaboration', 'pgesp', 'exploitation', 'aurifere', 'cas', 'commune', 'rural', 'morafeno']",contribution analyse impact elaboration pgesp exploitation aurifere cas commune rural morafeno
140,La Politique de sauvegarde environnementale de la Banque,Environnement et Ressources Naturelles,1,"['politique', 'sauvegarde', 'environnemental', 'banque']",politique sauvegarde environnemental banque
141,ANALYSE DES IMPACTS ENVIRONNEMENTAUX SUR L’ORPAILLAGE,Environnement et Ressources Naturelles,1,"['analyse', 'impact', 'environnemental', 'orpaillage']",analyse impact environnemental orpaillage
142,Analyse du bilan carbone et étude d’im pact s environnemental et social au sein de la,Environnement et Ressources Naturelles,1,"['analyse', 'bilan', 'carbon', 'étude', 'pact', 'environnemental', 'social', 'sein']",analyse bilan carbon étude pact environnemental social sein
143,"ETUDE D’IMPACT ENVIRONNEMENTAL ET SOCIAL DE L’EXPLOITATION AURIFERE DE SOAMAHAMANINA, DISTRICT DE MIARINARIVO",Environnement et Ressources Naturelles,1,"['etude', 'impact', 'environnemental', 'social', 'exploitation', 'aurifer', 'soamahamanina', 'district', 'miarinarivo']",etude impact environnemental social exploitation aurifer soamahamanina district miarinarivo
144,"IMPACTS DE LA CULTURE DE GERANIUM SUR LE BASSIN VERSANT D’IFANINDRO NA OU SE TROUVE UNE MICROCENTRALE HYDROELECTRIQUE , EN VUE D’ UN PLAN DE SAUVEGARDE ENVIRONNEMENTAL",Environnement et Ressources Naturelles,1,"['impact', 'culture', 'geranium', 'bassin', 'versant', 'ifanindro', 'trouver', 'microcentrale', 'hydroelectrique', 'vue', 'plan', 'sauvegarde', 'environnemental']",impact culture geranium bassin versant ifanindro trouver microcentrale hydroelectrique vue plan sauvegarde environnemental
145,Pré-étude environnementale d’un projet d’aménagement hydroélectrique au site Ranomafana sur la rivière Ikopa,Environnement et Ressources Naturelles,1,"['pré', 'étude', 'environnemental', 'projet', 'aménagement', 'hydroélectrique', 'site', 'ranomafana', 'rivière', 'ikopa']",pré étude environnemental projet aménagement hydroélectrique site ranomafana rivière ikopa
146,CONTRIBUTION À L’ÉLABORATION DU DOSSIER TECHNIQUE DU PROJET D’EXTENSION DU PETIT AMÉNAGEMENT HYDROÉLECTRIQUE D’ANDRIATSEMBOKA,Environnement et Ressources Naturelles,1,"['contribution', 'élaboration', 'dossier', 'technique', 'projet', 'extension', 'petit', 'aménagement', 'hydroélectrique', 'andriatsemboka']",contribution élaboration dossier technique projet extension petit aménagement hydroélectrique andriatsemboka
147,"GESTION DES EMPREINTES MINIÈRES DE L’EXPLORATION DE BAUXITE PAR LA SOCIETE MADAGASCAR ALUMINIUM DANS LA ZONE ANDRANOVATO-BEVALALA, DISTRICT DE BEALANANA, REGION SOFIA",Industrie et Transformation des Matériaux,3,"['gestion', 'empreinte', 'minièrer', 'exploration', 'bauxite', 'societe', 'madagascar', 'aluminium', 'zone', 'andranovato', 'bevalala', 'district', 'bealanana', 'region', 'sofia']",gestion empreinte minièrer exploration bauxite societe madagascar aluminium zone andranovato bevalala district bealanana region sofia
148,Gestion des risques liés à l’exploitation de la carrière de granite rose d’Ampangabe - Cas de la société SECMA,Industrie et Transformation des Matériaux,3,"['gestion', 'risque', 'lier', 'exploitation', 'carrière', 'granite', 'rose', 'ampangabe', 'cas', 'société', 'secma']",gestion risque lier exploitation carrière granite rose ampangabe cas société secma
149,REFLEXIONS SUR LA SITUATION DES GISEMENTS DE MINERAIS STRATEGIQUES DE MADAGASCAR,Industrie et Transformation des Matériaux,3,"['reflexion', 'situation', 'gisement', 'minerai', 'strategique', 'madagascar']",reflexion situation gisement minerai strategique madagascar
150,MECIE ET ACTIVITES D’EXPLOITATION DES PETITES MINES A MADAGASCAR,Industrie et Transformation des Matériaux,3,"['mecie', 'activite', 'exploitation', 'petit', 'mine', 'madagascar']",mecie activite exploitation petit mine madagascar
151,"DETERMINATION DE LA ZONE AURIFÈRE POTENTIELLE DE SAROBARATRA A PARTIR D’ANALYSES ET TRAITEMENTS MORPHOSCOPIQUE, D’IMAGE SATELLITAIRE ET DE LA CARTOGRAPHIE EN VUE D’UNE VALORISATION DE L’EXPLOITATION : UNITE D’ANDRIAMENA",Industrie et Transformation des Matériaux,3,"['determination', 'zone', 'aurifère', 'potentiel', 'sarobaratra', 'partir', 'analyse', 'traitement', 'morphoscopique', 'image', 'satellitaire', 'cartographie', 'vue', 'valorisation', 'exploitation', 'unite', 'andriamena']",determination zone aurifère potentiel sarobaratra partir analyse traitement morphoscopique image satellitaire cartographie vue valorisation exploitation unite andriamena
152,"PREEXPLOITATION DU LIGNITE D’AMBATOBOKA, DISTRICT D’ANTANIFOTSY",Industrie et Transformation des Matériaux,3,"['preexploitation', 'lignite', 'ambatoboka', 'district', 'antanifotsy']",preexploitation lignite ambatoboka district antanifotsy
153,Caractéristiques géologique et minière de l’or d’Androfia- Andranganala dans le secteur Andriamena en vue de son exploitation à l’échelle semiindustrielle,Industrie et Transformation des Matériaux,3,"['caractéristique', 'géologique', 'minière', 'androfia', 'andranganala', 'secteur', 'andriamena', 'vue', 'exploitation', 'échelle', 'semiindustriell']",caractéristique géologique minière androfia andranganala secteur andriamena vue exploitation échelle semiindustriell
154,SIMULATION D’EXPLOITATION DE CALCAIRE DANS LE SUD-OUEST DE MADAGASCAR,Industrie et Transformation des Matériaux,3,"['simulation', 'exploitation', 'calcaire', 'sud', 'ouest', 'madagascar']",simulation exploitation calcaire sud ouest madagascar
155,CONTRIBUTION A LA MISE EN LACE D’UN PLAN DE DEVELOPPEMENT DE L’AVAL PÉTROLIER MALAGASY : CAS DU DICTRICT DE MANANARA NORD,Industrie et Transformation des Matériaux,3,"['contribution', 'mise', 'lace', 'plan', 'developpement', 'aval', 'pétrolier', 'malagasy', 'cas', 'dictrict', 'mananara', 'nord']",contribution mise lace plan developpement aval pétrolier malagasy cas dictrict mananara nord
156,Evaluatio n des prospects pétroliers dans la formation Karoo par méthode sismique dans la partie Sud du D istrict d’Antsalova,Industrie et Transformation des Matériaux,3,"['evaluatio', 'prospect', 'pétrolier', 'formation', 'karoo', 'méthode', 'sismique', 'partie', 'sud', 'istrict', 'antsalova']",evaluatio prospect pétrolier formation karoo méthode sismique partie sud istrict antsalova
157,PROPOSITION DE POINTS DE FORAGE D’EXPLORATION PETROLIERE DANS LA ZONE NORD ONILAHY DU BASSIN MORONDAVA,Industrie et Transformation des Matériaux,3,"['proposition', 'point', 'forage', 'exploration', 'petroliere', 'zone', 'nord', 'onilahy', 'bassin', 'morondava']",proposition point forage exploration petroliere zone nord onilahy bassin morondava
158,MONOGRAPHIE ET VALORISATION DE L’EMERAUDE DE MANANJARY (DANS LA PARTIE SUD-EST DE MADAGASCAR),Industrie et Transformation des Matériaux,3,"['monographie', 'valorisation', 'emeraude', 'mananjary', 'partie', 'sud', 'madagascar']",monographie valorisation emeraude mananjary partie sud madagascar
159,CONTEXTE GITOLOGIQUE DU GRENAT,Industrie et Transformation des Matériaux,3,"['contexte', 'gitologiqu', 'grenat']",contexte gitologiqu grenat
160,"CONCEPTION D’UN LOGICIEL DE MINERALOGIE, GEMMOLOGIE ET DE TERRES",Industrie et Transformation des Matériaux,3,"['conception', 'logiciel', 'mineralogie', 'gemmologie', 'terres']",conception logiciel mineralogie gemmologie terres
161,"APPROCHE SUR L’ORIGINE DE L’OR DE TSIMALOTO : SECTEUR ANDRIAMENA, À PARTIR D’ANALYSE MORPHOSCOPIQUE ET GEOPHYSIQUE",Géosciences et Géomatique,2,"['approche', 'origine', 'tsimaloto', 'secteur', 'andriamena', 'partir', 'analyse', 'morphoscopique', 'geophysique']",approche origine tsimaloto secteur andriamena partir analyse morphoscopique geophysique
162,INFLUENCE DES PROCESSUS MAGMATIQUES ET METAMORPHIQUES DANS LA FORMATION DES RESSOURCES MINERALES-ETUDE DES SAPHIRS DE MADAGASCAR,Géosciences et Géomatique,2,"['influence', 'processus', 'magmatique', 'metamorphique', 'formation', 'ressource', 'minerale', 'etude', 'saphir', 'madagascar']",influence processus magmatique metamorphique formation ressource minerale etude saphir madagascar
163,Caractérisation lithologique et paléoenvironnement du puits onshore belobaka-1 du bassin de Mahajanga,Géosciences et Géomatique,2,"['caractérisation', 'lithologique', 'paléoenvironnement', 'puits', 'onshore', 'belobaka', 'bassin', 'mahajanga']",caractérisation lithologique paléoenvironnement puits onshore belobaka bassin mahajanga
164,EVOLUTION DES SEDIMENTS DE LA BAIE DE BOMBETOKA PAR TRAITEMENT D’IMAGES SATELLITES,Géosciences et Géomatique,2,"['evolution', 'sediment', 'baie', 'bombetoka', 'traitement', 'imager', 'satellites']",evolution sediment baie bombetoka traitement imager satellites
165,ESSAI DE STABILISATION DE LA LATERITE PAR LABIOTECHNOLOGIE,Géosciences et Géomatique,2,"['essai', 'stabilisation', 'laterite', 'labiotechnologie']",essai stabilisation laterite labiotechnologie
166,Conception de la base de données géographique et du SIG en vue de construction un nouveau centre de santé dans la commune rurale d’Ambohimangakely,Géosciences et Géomatique,2,"['conception', 'base', 'donnée', 'géographique', 'sig', 'vue', 'construction', 'centre', 'santé', 'commune', 'rural', 'ambohimangakely']",conception base donnée géographique sig vue construction centre santé commune rural ambohimangakely
167,ELABORATION D’UNE BASE DE DONNEES DES CARRIERE S À MADAGASCAR,Géosciences et Géomatique,2,"['elaboration', 'base', 'donnee', 'carriere', 'madagascar']",elaboration base donnee carriere madagascar
